platform,post_id,post_date,post_url,post_message,tags,native_reach,native_impressions,native_clicks,website_resource_clicks,visibility,reach,impressions,clicks,engagements,engagement_rate,native_engagement_rate,post_data_source,source_file,source_dataset,month
facebook,205183899497146_1331083169052745,2026-02-13,https://www.facebook.com/reel/26716988087902458/,"This Valentine's Day, help us ditch toxic relationships with disease around the world. 🌍💔  Make a donation to Sabin and support our mission to ensure all people, everywhere receive the benefits of vaccines.   🔗: https://secure.givelively.org/donate/the-albert-b-sabin-vaccine-institute-inc",Animated Standalone Graphic; Holiday,0,52187,0,0,52187,52187,52187,0,0,0.0,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_fb_top_posts.csv,facebook_top_posts,2026-02
facebook,205183899497146_1342531414574587,2026-02-26,https://www.facebook.com/reel/896708176542653/,"""You have the data. You have the vaccine. How can you put all of this into action?""  Epidemiology is all about finding ways to solve real-world health issues — gathering the data to ensure tangible impact for interventions in each community.  Hear Sabin Vaccine Epidemiology partner Dr. Farah Qamar, a professor in the Department of Pediatrics and Child Health at Aga Khan University in Pakistan,  tell how that can make all the difference in difficult circumstances, like during a #typhoid outbreak.",Video Short; Sabin Global Immunization; Applied Epi & Vaccine Introduction,0,122,0,0,122,122,122,0,0,0.0,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_fb_top_posts.csv,facebook_top_posts,2026-02
facebook,205183899497146_1323061829854879,2026-02-04,https://www.facebook.com/reel/1399089681681307/,"This #WorldCancerDay, we remember that the #HPV vaccine is safe and effective, and that #CervicalCancer could be the first cancer to be eliminated through vaccination, screening, and treatment.   Get inspired by some of the many global experts who are working to end cervical cancer and prevent HPV ⤵️ https://bit.ly/3NObetd",,0,68,0,0,68,68,68,0,0,0.0,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_fb_top_posts.csv,facebook_top_posts,2026-02
instagram,18071566172387598,2026-02-05,https://www.instagram.com/reel/DUYWdMPj3d6/,"🌍 ""We know health threats don't stop at borders.""  Join Sabin President of Global Immunization Rebecca Martin at WHX Dubai on February 10 to explore global health security solutions.  🕥 Keynote ""Immunization at the Frontline of Global Health Security: Levers, Lessons, and Leadership"" begins at 10:40 AM in the Connect Conference Center.   See you there!",Video Short; Conference; Event; Sabin Global Immunization,0,0,0,0,0,0,0,0,12,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_ig_top_posts.csv,instagram_top_posts,2026-02
instagram,17858967741599437,2026-02-04,https://www.instagram.com/p/DUVwethDCJG/,"This #WorldCancerDay, we remember that the #HPV vaccine prevents most strains of the virus that causes #CervicalCancer,  and it could be the first cancer to be eliminated through vaccination, screening, and treatment.",Static Graphic with Photo(s); Cervical Cancer; HPV,0,0,0,0,0,0,0,0,12,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_ig_top_posts.csv,instagram_top_posts,2026-02
instagram,17877811041500570,2026-02-24,https://www.instagram.com/p/DVJK1DgjLr8/,"Vaccines against #rotavirus , the leading cause of severe diarrheal disease in infants and young children, prevent thousands of deaths in children under 5 each year.  Swipe ➡️ for what you need to know.",Graphics Carousel; Rotavirus; Sabin Global Immunization,0,0,0,0,0,0,0,0,11,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_ig_top_posts.csv,instagram_top_posts,2026-02
linkedin,urn:li:ugcPost:7429964596763062272,2026-02-18,https://www.linkedin.com/feed/update/urn:li:ugcPost:7429964596763062272,"In this Spotlight edition of the Sabin Vaccine Wire, we reflect on Sabin’s 2025 outbreak response and the evolving global immunization landscape.     When Ethiopia faced its first-ever Marburg outbreak, the country requested swift assistance — and we were able to leverage prior experience and existing partnerships to deliver our vaccine candidate as quickly as possible. We also spent the year thoughtfully recalibrating our global immunization strategy, staying focused on evidence, equity, and country leadership amid public health disruption.     Read reflections from CEO Amy Finan, President of R&D Kelly Lyn Warfield, and President of Global Immunization Rebecca Martin. ",,0,0,0,0,0,0,0,0,131,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_li_pages_top_posts.csv,linkedin_top_posts,2026-02
linkedin,urn:li:ugcPost:7424451764034129920,2026-02-03,https://www.linkedin.com/feed/update/urn:li:ugcPost:7424451764034129920,"✈️ Developing vaccines is a huge lift. Then getting the vaccines to a clinical trial or outbreak setting quickly, safely, and efficiently is its own complex task.   Hear Noel Decker, MS, PMP, VP of Program & Portfolio Management on Sabin's R&D team, break down some of the challenges ⤵️",Video Short; Sabin R&D; Vaccine R&D,0,0,0,0,0,0,0,0,88,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_li_pages_top_posts.csv,linkedin_top_posts,2026-02
linkedin,urn:li:ugcPost:7425192743339008001,2026-02-05,https://www.linkedin.com/feed/update/urn:li:ugcPost:7425192743339008001,"🌍""We know health threats don't stop at borders."" Join Sabin President of Global Immunization Rebecca Martin at WHX Dubai on February 10 to explore global health security solutions.  🕥Keynote "" Immunization at the Frontline of Global Health Security: Levers, Lessons, and Leadership"" begins at 10:40 AM in the Connect Conference Center.   See you there!",Video Short; Conference; Event; Sabin Global Immunization,0,0,0,0,0,0,0,0,72,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_li_pages_top_posts.csv,linkedin_top_posts,2026-02
x,2023802169284067455,2026-02-17,https://twitter.com/sabinvaccine/status/2023802169284067455,"As we work to #TakeOnTyphoid, we face challenges like antimicrobial resistance, lack of #WASH infrastructure, and health care systems in need of improvement.   In this conversation with Dr. Matthew Laurens (@laurens_matt), Director of the Typhoid Vaccine Acceleration Consortium https://x.com/sabinvaccine/status/2023802169284067455/photo/1",,0,0,0,0,0,0,0,0,9,,,supplemental_top_posts,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\February 2026\crossnetwork_performance_template_2026-02-01_to_2026-02-28_created_on_20260302T1240Z_tw_top_posts.csv,x_posts,2026-02
