platform,post_id,post_date,post_url,post_message,tags,raw_post_type,primary_asset_type,asset_type_source,asset_type_basis,native_reach,native_impressions,native_clicks,website_resource_clicks,visibility,reach,impressions,clicks,base_engagements,base_engagement_rate,engagements,engagement_rate,native_engagement_rate,post_data_source,source_file,source_dataset,month
facebook,205183899497146_1420267680134293,2026-05-29,https://www.facebook.com/368989981928740/posts/1420267680134293,"Since introduction in 2006, #HPV vaccines have proven safe and effective in protecting against the virus and preventing cervical cancer. Yet the burden of HPV diseases continues to rise globally.   That's why #GlobalHPVConsortium partners like the HPV Cancers Alliance see every day as a day to advocate that #WomensHealthMatters.   Learn more about the Global HPV Consortium, where Sabin and partners are mobilizing action across prevention, screening, and treatment⤵️ https://ow.ly/iHgO50Z5cL0",Quote Card; HPV; Global HPV Consortium; Sabin Global Immunization,Photo,Photo,raw platform post type,raw platform post type,451,451,0,21,451,451,451,21,6,0.013303769401330377,27,0.0598669623059867,0.028481,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1419143140246747,2026-05-28,https://www.facebook.com/reel/1824050598554085/,"""We see transformation happen as immunization gaps are closed. Investing in women's health through the powerful action of immunization is super important in being able to achieve and to shape and to improve the health of our world.""  This #InternationalDayofActionforWomensHealth, hear from Sabin President of Global Immunization Rebecca Martin about the positive ripple effects from investing in women's health.",Video Short; Sabin Global Immunization; Holiday,Video,Video short,standardized_posts.tags,asset-like standardized tag,419,419,0,0,419,419,419,0,4,0.00954653937947494,4,0.00954653937947494,0.0,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1418288443665550,2026-05-27,https://www.facebook.com/368989981928740/posts/1418288443665550,"Women across the globe are leading immunization programs, shaping policy, and driving community impact, yet their experiences, challenges, and leadership pathways are too often under-recognized. The Sabin Vaccine Institute’s Boost Community is pleased to invite you to the final session of the BoostHER Special Dialogue Series, a three-part global virtual dialogue spotlighting women’s leadership in immunization and advancing gender-responsive practice across the sector.   Join us next week for Session 3: Women’s Leadership Pathways in Immunization: Career Growth, Mentorship & Professional Development.  This session will convene immunization professionals from around the world for an interactive dialogue focused on advancing women’s leadership in immunization. We will hear from Rebecca Martin, President of Global Immunization at Sabin, Folake Olayinka, Director of Immunization at Africa CDC, and Chizoba Wonodi, Associate Scientist at the Johns Hopkins Bloomberg School of Public Health, on their leadership journeys.  📅 Date: June 4, 2026 | 12:00 PM GMT  🔗 Registration & more details: https://ow.ly/TVZU50Z4orn",Static Graphic with Photo(s); Webinar; GCE/Boost,Photo,Graphic,standardized_posts.tags,asset-like standardized tag,124,124,0,5,124,124,124,5,3,0.024193548387096774,8,0.06451612903225806,0.059524,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1417657333728661,2026-05-26,https://www.facebook.com/368989981928740/posts/1417657333728661,"This month, Sabin President of Research & Development Kelly Warfield and CEO Amy Finan traveled to Addis Ababa to meet with officials from the Ethiopia Ministry of Health, Armauer Hansen Research Institute, Coalition for Epidemic Preparedness Innovations - CEPI, IQVIA, U.S. CDC, and other partners.  The conversations focused on lessons learned from the 2025 Marburg outbreak response, which included Sabin’s cAd3-Marburg Vaccine in a Phase 2 clinical trial. From supply chains and infrastructure to community engagement, data management and health workforce training, the visit offered valuable insights into what it takes to move quickly, collaboratively, and effectively during an outbreak response.",Single Photo; Sabin R&D; Outbreak Response,Photo,Photo,standardized_posts.tags,asset-like standardized tag,336,336,0,0,336,336,336,0,7,0.020833333333333332,7,0.020833333333333332,0.091371,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1414301570730904,2026-05-22,https://www.facebook.com/reel/26952796607674808/,"Dr. Axel Hoos spent more than 20 years on Sabin's Board of Trustees, and his leadership and invaluable guidance were celebrated during the 2026 Sabin Awards Ceremony.   Here's an inside look at his impactful tenure at Sabin.",Full Length Video; Sabin Awards,Video,Video short,standardized_posts.tags,asset-like standardized tag,63,63,0,0,63,63,63,0,2,0.031746031746031744,2,0.031746031746031744,0.0,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1413055000855561,2026-05-21,https://www.facebook.com/368989981928740/posts/1413055000855561,"For decades, the development of an effective new #tuberculosis vaccine has remained one of the world’s most urgent public health priorities. Today, with promising vaccine candidates advancing through the pipeline, global momentum around new TB vaccines is growing rapidly.  Join us for a timely webinar bringing together leaders from the TB and immunization communities to explore the future of TB vaccines. The session will feature new findings on vaccine readiness from a survey conducted by the Sabin and the Stop TB Partnership communities, expert perspectives on leading vaccine candidates including M72/AS01E and Mtbvac, and a discussion around what countries can consider to prepare for future introduction and equitable access.  📅 Date: Wednesday, June 10 ⏰ Time: 12 - 1:30 PM UTC 🔗 Registration: https://ow.ly/Smpj50Z2pT4",Static Graphic with Photo(s); Webinar; GCE/Boost; Sabin Global Immunization,Photo,Graphic,standardized_posts.tags,asset-like standardized tag,245,245,0,7,245,245,245,7,1,0.004081632653061225,8,0.0326530612244898,0.028249,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1412417254252669,2026-05-20,https://www.facebook.com/368989981928740/posts/1412417254252669,"Switching from one vaccine to another is just a matter of out with the old, in with the new, right? Not exactly.   As more than 30 co-authors, including Sabin's Kate Hopkins, PhD, MPH, report in ""Accelerating Evidence-Informed Vaccine Introductions: Lessons from the Hexavalent Early Adopters Workshop"" in the new issue of the journal Vaccines, there are multiple considerations when bringing a new immunization into a country's immunization schedule, including complex system changes requiring coordinated governance, reliable data systems, domestic financing, and multisectoral collaboration.  The paper presents evidence-based insights on making a successful switch from National Immunization Technical Advisory Groups (NITAGs) and Expanded Program on Immunization (EPI) programs of 10 African countries, as well as World Health Organization African Region, Gavi, the Vaccine Alliance, and consortium partners, who gathered in Senegal last November. It shows the power of Sabin's Regional Peer Learning model/capabilities and helps strengthen policy and operational readiness for countries at different stages of decision-making, planning, and implementation.  See the new article: https://ow.ly/A9Py50Z2nFE",,Photo,Photo,raw platform post type,raw platform post type,242,242,0,7,242,242,242,7,5,0.02066115702479339,12,0.049586776859504134,0.040698,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1411342441026817,2026-05-19,https://www.facebook.com/368989981928740/posts/1411342441026817,"Seeing headlines about the Ebola Bundibugyo outbreak? Kelly Warfield, Sabin’s President of Research & Development and an expert on this kind of virus, explains why not all Ebola vaccines are the same, and why more research in this area is so needed. ⤵️  “Vaccines developed against Ebola Zaire (EBOV) or Ebola Sudan (SUDV) may not be effective against disease caused by Ebola Bundibugyo (BDBV), such as the ongoing outbreak in DRC and Uganda, because these viruses are genetically and antigenically distinct species within the Ebolavirus genus.    Most Ebola vaccines induce targeted immune responses — particularly antibodies and T cell responses — against the viral glycoprotein (GP) of a specific species. Because the GP sequence and antigenic structure differ between Zaire, Sudan, and Bundibugyo viruses, immune responses elicited by a vaccine targeting one species may not adequately recognize or neutralize another.   While there is some early data indicating ways we might achieve protection against BDBV with existing EBOV and SUDV vaccines, further research is needed to determine whether any licensed Ebola Zaire and/or investigational Sudan vaccines can provide meaningful protection against the distinct Bundibugyo virus. Additionally, new vaccine candidates specifically targeting BDBV should be generated and tested to help address the growing threat of the virus.”  More on the Bundibugyo outbreak from the New York Times:  https://ow.ly/t1UO50Z1H39",Sudan Ebolavirus; Sabin R&D; Vaccine R&D,Photo,Photo,raw platform post type,raw platform post type,371,371,0,5,371,371,371,5,5,0.013477088948787063,10,0.026954177897574125,0.029289,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1410649531096108,2026-05-18,https://www.facebook.com/368989981928740/posts/1410649531096108,"Vaccines remain a critical tool to protect you and your loved ones.   Decades of research and real-world evidence consistently show that the benefits of vaccination far outweigh the risks, preventing an estimated 4 million childhood deaths worldwide every year. It is estimated a further 1.5 million lives could be saved annually with better global vaccine coverage.  Learn more about how vaccines work, and how they protect you and the people around you: https://ow.ly/OVhF50Z1gr0",Photo Carousel; General #VaccinesWork; Trust in Vaccines,Album,Carousel,standardized_posts.tags,asset-like standardized tag,385,385,0,5,385,385,385,5,6,0.015584415584415584,11,0.02857142857142857,0.033582,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
facebook,205183899497146_1408020751358986,2026-05-15,https://www.facebook.com/reel/1533427325069301/,"""We're squarely focused on making sure that we're here to improve the lives of people living in low- and middle-income countries and protecting them from infectious disease.""  This spring, Sabin Vaccine Institute CEO Amy Finan celebrated 10 years in her role. Hear about how her arrival came at a pivotal time for our organization, and hear a bit about her vision for the future. ⤵️",Video Short,Video,Video short,standardized_posts.tags,asset-like standardized tag,330,330,0,0,330,330,330,0,5,0.015151515151515152,5,0.015151515151515152,0.0,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\May 2026\facebook_post_performance_2026-05-01_to_2026-05-31_created_on_20260615T2001Z_facebook_post_performance.csv,facebook_posts,2026-05
