month,page_group,title,path,metric_label,metric_value,secondary_label,secondary_value,new_users,bounce_rate,avg_engagement_time_label,key_events,source_type
2026-01,top_pages,2025 Spotlight: Reflections on Outbreak Response and Generating Meaningful Data – Sabin Vaccine Institute,2025 Spotlight: Reflections on Outbreak Response and Generating Meaningful Data – Sabin Vaccine Institute,Sessions,506,Active Users,394,0,0.0059288537549407,6s,0,pages_and_screens
2026-01,top_pages,Careers – Sabin Vaccine Institute,Careers – Sabin Vaccine Institute,Sessions,2977,Active Users,2348,0,0.0211622438696674,30s,0,pages_and_screens
2026-01,top_pages,Finding Direction in a Disrupted Global Immunization Landscape – Sabin Vaccine Institute,Finding Direction in a Disrupted Global Immunization Landscape – Sabin Vaccine Institute,Sessions,496,Active Users,422,0,0.0100806451612903,4s,0,pages_and_screens
2026-01,top_pages,Immunization Advocates – Sabin Vaccine Institute,Immunization Advocates – Sabin Vaccine Institute,Sessions,502,Active Users,495,0,0.0159362549800796,2s,0,pages_and_screens
2026-01,top_pages,Internships – Sabin Vaccine Institute,Internships – Sabin Vaccine Institute,Sessions,538,Active Users,484,0,0.020446096654275,18s,0,pages_and_screens
2026-01,top_pages,News – Sabin Vaccine Institute,News – Sabin Vaccine Institute,Sessions,406,Active Users,390,0,0.0024630541871921,30s,0,pages_and_screens
2026-01,top_pages,Page not found – Sabin Vaccine Institute,Page not found – Sabin Vaccine Institute,Sessions,821,Active Users,808,0,0.0073081607795371,2s,0,pages_and_screens
2026-01,top_pages,People – Sabin Vaccine Institute,People – Sabin Vaccine Institute,Sessions,502,Active Users,417,0,0.0219123505976095,48s,0,pages_and_screens
2026-01,top_pages,Sabin Newsletter Archive – Sabin Vaccine Institute,Sabin Newsletter Archive – Sabin Vaccine Institute,Sessions,462,Active Users,460,0,0.0043290043290043,1s,0,pages_and_screens
2026-01,top_pages,Sabin Vaccine Institute | Extending Vaccine Accessibility & Innovation,Sabin Vaccine Institute | Extending Vaccine Accessibility & Innovation,Sessions,2186,Active Users,1751,0,0.0242451967063129,16s,0,pages_and_screens
