month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reach,impressions,clicks,engagement_rate,engagements_total
2026-01,205183899497146_1307832194711176,2026-01-17 07:00:59,facebook,https://www.facebook.com/reel/1950586902338218/,Video Short,Asset Type,content_format,227,227,,0.462555,0.0
2026-01,205183899497146_1318448426982886,2026-01-29 22:20:18,facebook,https://www.facebook.com/368989981928740/posts/1318448426982886,Single Photo,Asset Type,content_format,50,50,,0.1,0.0
2026-01,205183899497146_1316996013794794,2026-01-28 06:25:12,facebook,https://www.facebook.com/368989981928740/posts/1316996013794794,Static Standalone Graphic,Asset Type,content_format,62,62,,0.048387,0.0
2026-01,205183899497146_1311384281022634,2026-01-21 18:00:35,facebook,https://www.facebook.com/368989981928740/posts/1311384281022634,Static Standalone Graphic,Asset Type,content_format,84,84,,0.035714,0.0
2026-01,205183899497146_1310538027773926,2026-01-20 18:02:02,facebook,https://www.facebook.com/368989981928740/posts/1310538027773926,Single Photo,Asset Type,content_format,82,82,,0.085366,0.0
2026-01,205183899497146_1307383291422733,2026-01-16 16:02:55,facebook,https://www.facebook.com/368989981928740/posts/1307383291422733,Single Photo,Asset Type,content_format,87,87,,0.057471,0.0
2026-01,205183899497146_1306211218206607,2026-01-15 07:50:11,facebook,https://www.facebook.com/368989981928740/posts/1306211218206607,Static Standalone Graphic,Asset Type,content_format,52,52,,0.057692,0.0
2026-01,205183899497146_1304998901661172,2026-01-13 18:01:37,facebook,https://www.facebook.com/368989981928740/posts/1304998901661172,Static Standalone Graphic,Asset Type,content_format,77,77,,0.051948,0.0
2026-01,205183899497146_1300421578785571,2026-01-07 19:15:14,facebook,https://www.facebook.com/368989981928740/posts/1300421578785571,Single Photo,Asset Type,content_format,96,96,,0.072917,0.0
2026-01,205183899497146_1298473785647017,2026-01-05 08:00:35,facebook,https://www.facebook.com/368989981928740/posts/1298473785647017,Single Photo,Asset Type,content_format,96,96,,0.041667,0.0
2026-01,205183899497146_1296010535893342,2026-01-01 18:40:14,facebook,https://www.facebook.com/368989981928740/posts/1296010535893342,Static Standalone Graphic,Asset Type,content_format,459,459,,0.106754,0.0
2026-01,18068643413534971,2026-01-30 16:20:04,instagram,https://www.instagram.com/reel/DUJCV1ckvJb/,Video Short,Asset Type,content_format,144,144,,0.076389,9.0
2026-01,17877217872460769,2026-01-02 18:40:22,instagram,https://www.instagram.com/p/DTBMkH_k4H-/,Static Standalone Graphic,Asset Type,content_format,211,211,,0.066351,11.0
2026-01,18089431778009149,2026-01-27 20:05:42,instagram,https://www.instagram.com/p/DUBuL1nAWXM/,Graphics Carousel,Asset Type,content_format,109,109,,0.06422,7.0
2026-01,18091894324790183,2026-01-16 20:00:18,instagram,https://www.instagram.com/reel/DTlYYV8EWje/,Video Short,Asset Type,content_format,96,96,,0.052083,5.0
