month,asset_type,platform,posts,reach,impressions,engagements,clicks,engagement_rate
2026-05,Graphics Carousel,facebook,1,641,641,0.0,0.0,0.0
2026-05,Graphics Carousel,instagram,1,108,108,8.0,0.0,0.07407407407407407
2026-05,Graphics Carousel,linkedin,1,758,1137,33.0,367.0,0.04353562005277045
2026-05,Photo Carousel,facebook,2,12153,12153,0.0,0.0,0.0
2026-05,Photo Carousel,instagram,1,136,136,6.0,0.0,0.04411764705882353
2026-05,Photo Carousel,linkedin,1,2283,3380,110.0,937.0,0.04818221638195357
2026-05,Single Photo,facebook,3,767,767,0.0,0.0,0.0
2026-05,Single Photo,linkedin,4,3249,5117,130.0,316.0,0.040012311480455524
2026-05,Video Short,facebook,5,1662,1662,0.0,0.0,0.0
2026-05,Video Short,instagram,5,1149,1149,33.0,0.0,0.028720626631853787
2026-05,Video Short,linkedin,5,3945,5876,167.0,463.0,0.042332065906210394
