platform,post_id,post_date,post_url,post_message,tags,native_reach,native_impressions,native_clicks,website_resource_clicks,visibility,reach,impressions,clicks,engagements,engagement_rate,native_engagement_rate,post_data_source,source_file,source_dataset,month
facebook,205183899497146_1307832194711176,2026-01-17,https://www.facebook.com/reel/1950586902338218/,"Reaching zero-dose children. Diagnosing missed vaccination opportunities. Engaging schools and communities on the importance of vaccination to help those who need it most.   Fellows in the latest cohort of the COVID-19 Recovery for Routine Immunization Programs Fellowship — supported by Sabin’s Boost Community and the World Health Organization — tackled these lofty goals and more.   Through this fellowship and their membership in Boost, participants made lasting impact in their communities, connected with peers around the world, and learned lessons they will take forward into the rest of their careers.    Hear about their experience, in their own words ⤵",Video Short; GCE/Boost; Sabin Global Immunization,227,817,0,0,817,817,817,0,10,0.012239902080783354,0.462555,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1318448426982886,2026-01-29,https://www.facebook.com/368989981928740/posts/1318448426982886,"""You cannot recreate the complexity of an outbreak in a laboratory. By embedding rigorous science into real-world response efforts — under strong ethical and regulatory oversight — we can help build the evidence needed to strengthen future preparedness.""  For Sabin President of Research & Development Kelly Warfield, 2025 was a year of progress,  preparedness and partnership. Her first full year at the organization included tripling the R&D team size and doubling the number of Phase 2 clinical trials for Sabin's vaccine candidates for Marburg virus disease and Sudan virus, a strain of Ebola.  And then, just as the team was getting ready to celebrate the end of year holidays, Ethiopia's Minister of Health called and requested Sabin's help responding to the country's first-ever Marburg outbreak.  Read Kelly's reflections about her year on the road to vaccine approval: ⤵️ ",Single Photo; Blog; Sabin R&D; Vaccine R&D,50,0,0,0,50,50,50,0,1,0.02,0.1,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1316996013794794,2026-01-28,https://www.facebook.com/368989981928740/posts/1316996013794794,"Happening tomorrow! 📣 Join the Sabin Vaccine Institute’s Boost Community for the launch of the BoostHER Special Dialogue Series, a three-part global virtual dialogue spotlighting women’s leadership in immunization and advancing gender-responsive practice across the sector.  Join us for the first session, Women Leading Immunization: Voices, Barriers & Breakthroughs, which will  convene immunization professionals from around the world for an interactive, story-driven dialogue that ⤵️  🔹 Amplifies women’s lived experiences across immunization systems 🔹 Explores barriers identified through the Boost Gender Analysis and 2025 Annual Survey 🔹 Creates space for peer learning, reflection, and collective priority-setting 🔹 Helps shape a shared agenda for advancing gender equity in immunization  📅 January 29, 2026  ⏰ 2:00 PM GMT 🔗 Details & registration: https://us02web.zoom.us/meeting/register/G0eBuznbRne3i1UBVi1TKQ#/registration",Static Standalone Graphic; Webinar; GCE/Boost,62,0,0,0,62,62,62,0,2,0.03225806451612903,0.048387,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1316675947160134,2026-01-27,https://www.facebook.com/368989981928740/posts/1316675947160134,"As we round out #CervicalCancerAwarenessMonth, swipe through some essential facts ➡️  One shot of an #HPV vaccine prevents most cervical cancers. The partners of the #GlobalHPVConsortium remain committed to increasing HPV vaccination, plus cervical cancer screening and treatment, in our effort to #EliminateCervicalCancer.",Cervical Cancer Awareness Month; Cervical Cancer; HPV; Global HPV Consortium,136,0,0,0,136,136,136,0,4,0.029411764705882353,0.066176,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1315882197239509,2026-01-26,https://www.facebook.com/368989981928740/posts/1315882197239509,Sabin President of Global Immunization Rebecca Martin remembers global public health leader Dr. William Foege.  https://bit.ly/4k402Ve,,115,0,0,0,115,115,115,0,5,0.043478260869565216,0.156522,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1315497757277953,2026-01-26,https://www.facebook.com/368989981928740/posts/1315497757277953,"✨ Fantastic news from Ethiopia, which moved quickly to bring together an expert team to halt their first-ever Marburg outbreak.   While the outbreak is over, the clinical trial of Sabin’s cAd3-Marburg Vaccine will continue as our colleagues at the Ministry of Health and the Armauer Hansen Research Institute (AHRI) follow all participants in both cohorts.  Once again, the amazing teamwork among all partners, including the Coalition for Epidemic Preparedness Innovations (CEPI), IQVIA and The Biomedical Advanced Research and Development Authority (BARDA), part of U.S. Department of Health and Human Services’ Administration for Strategic Preparedness and Response (ASPR), supported effective outbreak response.  See how the response unfolded:⤵️  https://www.sabin.org/resources/2025-spotlight-reflections-on-outbreak-response-and-generating-meaningful-data/",,139,0,0,0,139,139,139,0,3,0.02158273381294964,0.028777,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1312942364200159,2026-01-23,https://www.facebook.com/368989981928740/posts/1312942364200159,"Today's #SocialWithSabin takeover for #CervicalCancerAwarenessMonth is from partner Global Initiative Against HPV & Cervical Cancer (GIAHC). ⤵️  ---  ✨ We are thrilled to invite you to the 8th Annual Us vs. HPV Prevention Week, co-hosted with the American Medical Women's Association (AMWA).  🔥 Events begin next week on January 26.  This year, we celebrate significant global progress in #HPV vaccination, which prevents nearly 90% of six HPV-related cancers in all genders. We'll also showcase groundbreaking advancements in screening such as self-sampling and early treatment technologies to #eliminatecervicalcancer—the first cancer we can end together.  ✍️ Event Details: 🔸 View the full agenda here with link to register: https://bit.ly/3NwcHUN  Special Highlight ⤵️ Wednesday, January 28 starts earlier at 10 a.m. EST to accommodate international attendees.",Static Graphic with Photo(s); Cervical Cancer Awareness Month,107,0,0,0,107,107,107,0,2,0.018691588785046728,0.028037,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1312202940940768,2026-01-22,https://www.facebook.com/368989981928740/posts/1312202940940768,"In #Cameroon’s Nylon Health District, low #HPV vaccination rates posed a significant risk, especially given the high burden of cervical and other HPV-related cancers.   Routine immunization services were limited in reach, missed opportunities for vaccination were common, and low awareness and mistrust among some parents and health workers posed additional barriers.   To tackle these challenges, Nylon Health District launched a catalytic program — supported by Sabin and the World Health Organization — to improve HPV vaccination coverage by engaging schools, communities, and health facilities.   The results? 2,681 adolescents — 2.6 times the target — received the vaccine. Dive into Jeanne Liliane Mbengue’s case study on how the team achieved this milestone ⤵   https://bit.ly/3YNfw6n",Static Graphic with Photo(s); Case Study; GCE/Boost,101,0,0,0,101,101,101,0,3,0.0297029702970297,0.039604,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1311384281022634,2026-01-21,https://www.facebook.com/368989981928740/posts/1311384281022634,"The Sabin Vaccine Institute’s Boost Community is pleased to invite you to the launch of the BoostHER Special Dialogue Series, a three-part global virtual dialogue spotlighting women’s leadership in immunization and advancing gender-responsive practice across the sector.  Join us for the first session, Women Leading Immunization: Voices, Barriers & Breakthroughs, which will  convene immunization professionals from around the world for an interactive, story-driven dialogue that ⤵️  🔹 Amplifies women’s lived experiences across immunization systems 🔹 Explores barriers identified through the Boost Gender Analysis and 2025 Annual Survey 🔹 Creates space for peer learning, reflection, and collective priority-setting 🔹 Helps shape a shared agenda for advancing gender equity in immunization  📅 January 29, 2026  ⏰ 2:00 PM GMT 🔗 Details & registration: https://us02web.zoom.us/meeting/register/G0eBuznbRne3i1UBVi1TKQ#/registration",Static Standalone Graphic; Webinar; GCE/Boost,84,0,0,0,84,84,84,0,2,0.023809523809523808,0.035714,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
facebook,205183899497146_1310538027773926,2026-01-20,https://www.facebook.com/368989981928740/posts/1310538027773926,"Partners in the #GlobalHPVConsortium work with local organizations every day to #EliminateCervicalCancer and #PreventHPV. Here, VillageReach takes over our account with #SocialWithSabin as part of #CervicalCancerAwarenessMonth, sharing a success story from #Nigeria ⤵️  --  Enugu has stood out as a top performer among all South-Eastern Nigerian states in driving HPV vaccine uptake, with 99% coverage as of October 2025, and our partners at the National Primary Health Care Development Agency (NPHCDA) have recognized the progress there, especially around key efforts like Maternal, Newborn and Child Health (MNCH) Weeks.  🔥 How we did it:  Townhall-style dialogues brought people together — moms, teachers, chiefs, religious leaders, and young people — to talk honestly about HPV and the vaccine, where questions were welcomed and fears were respectfully unpacked through:  ✨ Trust: Health workers broke down the science, teachers explained school delivery logistics, and local leaders tied health protection to family and faith. ✨ Action: Caregivers and adolescents who wanted the adolescent to receive the vaccine were linked to on-site vaccination teams. ✨ Partnership: Together with the NPHCDA and local health agencies, Enugu communities kept HPV vaccination visible and accessible, with state leadership setting the direction. We supported school-based delivery and church-based sensitization to build comfort and confidence about the HPV vaccine among girls and those around them.  We supported school-based delivery and church-based sensitization to build comfort and confidence about the HPV vaccine among girls and those around them.  📈 The result? Momentum you can feel!",Single Photo; Cervical Cancer; HPV; Global HPV Consortium; Trust in Vaccines,82,0,0,0,82,82,82,0,4,0.04878048780487805,0.085366,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01
