platform,post_id,post_date,post_url,post_message,standardized_tags,raw_post_type,raw_tags,primary_asset_type,asset_type_basis,asset_type_source,override_notes
facebook,205183899497146_1371664378327957,2026-04-02,https://www.facebook.com/reel/960138280044285/,"Dozens of meetings, five panels and presentations, serious conversations about vaccine development and preparing for future outbreaks — it's been a busy week at the World Vaccine Congress. Here are live reactions from some of the Sabin team. 🎤   #WVCDC",Video Short; Event,,,Video short,asset-like standardized tag,standardized_posts.tags,
facebook,205183899497146_1376319191195809,2026-04-08,https://www.facebook.com/reel/2189339058536579/,"When you work in vaccine development, your friends and family may or may not be able to explain exactly what you do every day... 💉Hear from a few members of Sabin's R&D team on how close their loved ones come to nailing their job description.  And as for the real work, here's an explainer on how vaccines are made safe and effective ⤵️ https://ow.ly/PTtR50YClMO",Video Short; Blog; Sabin R&D,,,Video short,asset-like standardized tag,standardized_posts.tags,
facebook,205183899497146_1383575483803513,2026-04-17,https://www.facebook.com/reel/953158600429350/,"""Although some of these rich countries have been able to get rid of the disease, many poorer countries or resource-limited countries are still fighting.""  #Typhoid remains a problem around the world — but #VaccinesWork to protect against the disease. Hear from these Sabin research partners about the work they're doing to #TakeOnTyphoid, and read Sabin President of Vaccine Epidemiology Dr. Denise Garrett, MD, MSc on the future of typhoid prevention.  🔗 https://ow.ly/qSUx50YIt5m",Video Short; Typhoid; Sabin Global Immunization; Applied Epi & Vaccine Introduction,,,Video short,asset-like standardized tag,standardized_posts.tags,
facebook,205183899497146_1389610083200053,2026-04-24,https://www.facebook.com/reel/1743744043673315/,"What is a malariologist, and why is the work they do so important? 🦟  This #WorldMalariaDay, hear about the nuances of preventing the disease from Jason Maguire, Vice President, Clinical for Sabin's Research and Development team. Dr. Maguire, a malariologist,  studied and treated the disease for years as a physician and researcher with the U.S. Navy.⤵️",Video Short; Malaria,,,Video short,asset-like standardized tag,standardized_posts.tags,
facebook,205183899497146_1394123819415346,2026-04-29,https://www.facebook.com/reel/997718272681528/,"""We have vaccines. We have the tools and the resources that are needed. But it's about how we can deliver those while working with countries as the ultimate decision-makers.""  This #WorldImmunizationWeek, hear from Sabin President of Global Immunization Rebecca Martin on why immunization is a critical pillar of global health security. ⤵️",Video Short; Sabin Global Immunization; Vaccine Access & Equity,,,Video short,asset-like standardized tag,standardized_posts.tags,
instagram,18076410617554832,2026-04-14,https://www.instagram.com/p/DXHWw-eEqM3/,"🌟 Our 2026 Rising Star awardee, Dr. Senjuti Saha, has already left a permanent mark on public health.  Under her leadership as Deputy Executive Director of the Child Health Research Foundation in Bangladesh, surveillance programs have continued to generate critical evidence for the impact of vaccines, and her landmark studies on typhoid epidemiology and antimicrobial resistance formed the scientific foundation for Bangladesh’s launch of the typhoid conjugate vaccine campaign in October 2025, where over 40 million children under the age of 15 have been vaccinated so far.  We are excited to celebrate Dr. Saha for her impactful work, and also for her compassionate, community-rooted approach to science and mentorship.   Read her full bio on our website at the link in our bio, and mark your calendar to join the Sabin Awards Ceremony livestream on May 12 at 6:30 p.m. on sabin.org.",Photo Carousel; Sabin Awards,Carousel album,"Asset Type: Photo Carousel, Topic: Sabin Awards",Carousel,asset-like standardized tag,standardized_posts.tags,
instagram,18076587683437113,2026-04-01,https://www.instagram.com/p/DWmS3Q1DaNc/,"“There is no need for the vaccine because hunger will kill my child before any vaccine-preventable disease does.”  Sabin's Boost Community is made up of immunization professionals in all parts of the world. For member Fri Delphine Chifor, who works in parts of Cameroon where conflict has stripped families of safety, income, and access to basic services, vaccines remain one of the few consistent shields children still have. But getting vaccinated can often seem like a secondary concern as parents grapple with urgent questions of where they will sleep tonight or how they will find their next meal.  Chifor shares how  the Cameroon Baptist Convention Health Services Immunization Program started intentionally shifting the way they engaged with families, addressing what mattered most to them first and offering essential vaccines at the same time.   The impact was immediate — not only did they vaccinate more than 163,000 children in less than a year, but they also screened thousands for malnutrition, gave away mosquito nets and medications, and provided more than 13,000 caregivers with nutrition and vaccine education.  Read the full story at the link in our bio.",Single Photo; Blog; GCE/Boost; Trust in Vaccines,Photo,"Asset Type: Single Photo, Promoted Content: Blog, Team: GCE/Boost, Theme: Trust in Vaccines",Photo,asset-like standardized tag,standardized_posts.tags,
instagram,18526022476078125,2026-04-27,https://www.instagram.com/p/DXo9HFplIRD/,"Vaccines aren't just an essential public health tool — they also save individuals and communities money. Illness can disrupt the workforce, overwhelm health care systems, and ultimately be far more expensive than the vaccines that could have prevented the disease. #VaccinesWork #WorldImmunizationWeek2026",Graphics Carousel; General #VaccinesWork,Carousel album,"Asset Type: Graphics Carousel, Theme: General #VaccinesWork",Carousel,asset-like standardized tag,standardized_posts.tags,
instagram,18100168138793348,2026-04-07,https://www.instagram.com/p/DW1_uHaD3ej/,"You hear it a lot — no invention has had a larger impact on human health than #vaccines.  They have saved an estimated 154 million lives over the past 50 years. That's a rate of six lives every minute.  For #WorldHealthDay this year, with the theme of #StandWithScience, we're sharing some of the science that makes vaccines effective and safe.",General #VaccinesWork; Trust in Vaccines; Vaccine R&D,Carousel album,"Theme: General #VaccinesWork, Theme: Trust in Vaccines, Theme: Vaccine R&D",Carousel,raw platform post type,instagram_post_performance_2026-04-01_to_2026-04-30_created_on_20260518T1536Z_instagram_post_performance.csv,
instagram,17921423778328023,2026-04-16,https://www.instagram.com/reel/DXMcWqLiKp_/,"Join us in celebrating the tenure of Dr. Axel Hoos, who is departing the Sabin Board of Trustees after more than 20 years. 👏 His legacy includes two terms as Executive Chair, initiating a new strategic direction for the organization, and setting us on a path that includes vaccine development towards licensure. We thank him for his many years of impactful leadership.",General Sabin Staff/Org,Reel,Topic: General Sabin Staff/Org,Video short,raw platform post type,instagram_post_performance_2026-04-01_to_2026-04-30_created_on_20260518T1536Z_instagram_post_performance.csv,
