platform,post_id,post_date,post_url,post_message,tags,native_reach,native_impressions,native_clicks,website_resource_clicks,visibility,reach,impressions,clicks,engagements,engagement_rate,native_engagement_rate,post_data_source,source_file,source_dataset,month,platform_label,platform_sort_order,base_engagements,base_engagement_rate,primary_asset_type,asset_type_source,asset_type_basis,raw_post_type
facebook,205183899497146_1296010535893342,2026-01-01,https://www.facebook.com/368989981928740/posts/1296010535893342,"In the new year, help us further our mission to eliminate vaccine-preventable deaths and expand vaccine access to everyone, everywhere.  Give today ⤵️ https://secure.givelively.org/donate/the-albert-b-sabin-vaccine-institute-inc",Static Standalone Graphic; Individual Giving,459,0,0,0,459,459,459,0,26,0.0566448801742919,0.106754,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1298473785647017,2026-01-05,https://www.facebook.com/368989981928740/posts/1298473785647017,"""When things come every year like influenza, people start getting used to them and tend to forget to vaccinate. People should be aware that the risk is there every year. Unfortunately, we need a new vaccine annually because the virus continues to change, and we must update the vaccine to update our immunity.""   Have you had your #flu shot this year? Read our conversation with bacteriologist and Sabin Gold Medal winner Rino Rappuoli, and learn why it's a must. ⤵️ https://www.sabin.org/resources/influenza-is-nothing-to-sneeze-at/",Single Photo; Influenza; Q&A,96,0,0,0,96,96,96,0,3,0.03125,0.041667,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1300421578785571,2026-01-07,https://www.facebook.com/368989981928740/posts/1300421578785571,"""Unlike COVID-19, there is no commercial market for a Marburg vaccine. Demand is limited to outbreak response, health workers, and emergency stockpiles. Progress depends almost entirely on public sector and philanthropic investment. Sabin’s role is to ensure that lack of commercial viability does not translate into lack of protection.""  Sabin Vaccine Institute CEO Amy Finan reflects on a defining moment in 2025 — when #Ethiopia's Ministry of Health reached out for support as the country faced its first-ever outbreak of #Marburg virus disease.   Having responded to a Marburg outbreak in Rwanda the year before, the Sabin team moved quickly — building on established partnerships and lessons learned to support the national response, while generating evidence to support the development of our investigational cAd3-Marburg vaccine.  Read more ⤵️ https://www.sabin.org/resources/2025-spotlight-reflections-on-outbreak-response-and-generating-meaningful-data/   #OutbreakResponse",Single Photo; Marburg; Sabin R&D; Outbreak Response,96,0,0,0,96,96,96,0,4,0.0416666666666666,0.072917,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1300781592082903,2026-01-08,https://www.facebook.com/368989981928740/posts/1300781592082903,"For Cervical Cancer Awareness Month, Sabin is hosting #SocialwithSabin, a social media takeover by partners of the #GlobalHPVConsortium. From #CAPED India ⤵️  This Cervical Cancer Awareness Month, let’s check the facts. Understanding cervical cancer is the first step to preventing it. The more we know, the better we can protect ourselves. Swipe to learn more and stay informed.  #CervicalCancerAwarenessMonth #CAPED",Cervical Cancer Awareness Month; HPV; Global HPV Consortium,122,0,0,0,122,122,122,0,3,0.0245901639344262,0.07377,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1638275830862213,2026-01-09,https://www.facebook.com/368989981928740/posts/1638275830862213?substory_index=1638275830862213,(Post with no description),,54,0,0,0,54,54,54,0,0,0.0,0.0,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1304998901661172,2026-01-13,https://www.facebook.com/368989981928740/posts/1304998901661172,📣 Late-breaker abstract submissions for the 14th International Conference on #Typhoid and Other Invasive Salmonelloses are now open!  See submission details ⤵️ https://www.coalitionagainsttyphoid.org/call-for-late-breaker-abstracts/  Submit by February 3 and join us as we #TakeOnTyphoid.,Static Standalone Graphic; Typhoid; Conference,77,0,0,0,77,77,77,0,2,0.0259740259740259,0.051948,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1306211218206607,2026-01-15,https://www.facebook.com/368989981928740/posts/1306211218206607,"Women across the globe are leading immunization programs, shaping policy, and driving community impact — yet their experiences, challenges, and leadership pathways are too often under-recognized.  The Sabin Vaccine Institute’s Boost Community is pleased to invite you to the launch of the BoostHER Special Dialogue Series, a three-part global virtual dialogue spotlighting women’s leadership in immunization and advancing gender-responsive practice across the sector.  Join us for the first session, Women Leading Immunization: Voices, Barriers & Breakthroughs, which will  convene immunization professionals from around the world for an interactive, story-driven dialogue that ⤵️  🔹 Amplifies women’s lived experiences across immunization systems 🔹 Explores barriers identified through the Boost Gender Analysis and 2025 Annual Survey 🔹 Creates space for peer learning, reflection, and collective priority-setting 🔹 Helps shape a shared agenda for advancing gender equity in immunization  📅 January 29, 2026  ⏰ 2:00 PM GMT 🔗 Details & registration: https://us02web.zoom.us/meeting/register/G0eBuznbRne3i1UBVi1TKQ#/registration",Static Standalone Graphic; Webinar; GCE/Boost,52,0,0,0,52,52,52,0,2,0.0384615384615384,0.057692,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1307383291422733,2026-01-16,https://www.facebook.com/368989981928740/posts/1307383291422733,"""Global health is not standing still — it is rebalancing. If we stay focused on evidence, equity, building trust, and country leadership, this moment of reshaping can be a foundation for a stronger, more resilient immunization ecosystem to protect lives and prevent deaths around the world.""  Sabin President of Global Immunization, Rebecca Martin, joined the organization in mid-2025, at a moment when global immunization was under significant strain. In response to the challenges, her team made strategic pivots, stayed focused on where they can have the greatest impact, and continued building on the credibility, scientific rigor, and local partnerships that have always defined Sabin's work.  Read Rebecca's reflections on finding direction in a disrupted global immunization landscape ⤵️ https://bit.ly/3Lj8W4t",Single Photo; Blog; Sabin Global Immunization,87,0,0,0,87,87,87,0,2,0.0229885057471264,0.057471,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1307832194711176,2026-01-17,https://www.facebook.com/reel/1950586902338218/,"Reaching zero-dose children. Diagnosing missed vaccination opportunities. Engaging schools and communities on the importance of vaccination to help those who need it most.   Fellows in the latest cohort of the COVID-19 Recovery for Routine Immunization Programs Fellowship — supported by Sabin’s Boost Community and the World Health Organization — tackled these lofty goals and more.   Through this fellowship and their membership in Boost, participants made lasting impact in their communities, connected with peers around the world, and learned lessons they will take forward into the rest of their careers.    Hear about their experience, in their own words ⤵",Video Short; GCE/Boost; Sabin Global Immunization,227,817,0,0,817,817,817,0,10,0.0122399020807833,0.462555,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
facebook,205183899497146_1310538027773926,2026-01-20,https://www.facebook.com/368989981928740/posts/1310538027773926,"Partners in the #GlobalHPVConsortium work with local organizations every day to #EliminateCervicalCancer and #PreventHPV. Here, VillageReach takes over our account with #SocialWithSabin as part of #CervicalCancerAwarenessMonth, sharing a success story from #Nigeria ⤵️  --  Enugu has stood out as a top performer among all South-Eastern Nigerian states in driving HPV vaccine uptake, with 99% coverage as of October 2025, and our partners at the National Primary Health Care Development Agency (NPHCDA) have recognized the progress there, especially around key efforts like Maternal, Newborn and Child Health (MNCH) Weeks.  🔥 How we did it:  Townhall-style dialogues brought people together — moms, teachers, chiefs, religious leaders, and young people — to talk honestly about HPV and the vaccine, where questions were welcomed and fears were respectfully unpacked through:  ✨ Trust: Health workers broke down the science, teachers explained school delivery logistics, and local leaders tied health protection to family and faith. ✨ Action: Caregivers and adolescents who wanted the adolescent to receive the vaccine were linked to on-site vaccination teams. ✨ Partnership: Together with the NPHCDA and local health agencies, Enugu communities kept HPV vaccination visible and accessible, with state leadership setting the direction. We supported school-based delivery and church-based sensitization to build comfort and confidence about the HPV vaccine among girls and those around them.  We supported school-based delivery and church-based sensitization to build comfort and confidence about the HPV vaccine among girls and those around them.  📈 The result? Momentum you can feel!",Single Photo; Cervical Cancer; HPV; Global HPV Consortium; Trust in Vaccines,82,0,0,0,82,82,82,0,4,0.048780487804878,0.085366,full_post_performance,C:\Users\JAlfaro\OneDrive - Albert B. Sabin Vaccine Institute\Sabin Communications - Digital Comms Team\Social & Digital Analytics\Hootsuite Exports\January 2026\facebook_post_performance_2026-01-01_to_2026-01-31_created_on_20260226T1554Z_facebook_post_performance.csv,facebook_posts,2026-01,Facebook,1,,,,,,
