month,channel_group,sessions,active_users,total_users,new_users,engaged_sessions,engagement_rate,bounce_rate,session_key_event_rate,avg_engagement_time_seconds,avg_engagement_time_label,key_events,event_count,events_per_session
2026-01,Direct,9430,8847,9045,8814,9385,0.9952279957582184,0.0047720042417815,1.0,11.436161187698833,11s,34277,,
2026-01,Email,28,20,31,16,25,0.8928571428571429,0.1071428571428571,1.0,48.035714285714285,48s,101,,
2026-01,Organic Search,4664,3416,3465,3206,4479,0.9603344768439108,0.0396655231560891,1.0,49.325471698113205,49s,18813,,
2026-01,Organic Shopping,33,33,33,33,33,1.0,0.0,1.0,0.0,0s,99,,
2026-01,Organic Social,1675,1477,1475,1449,1650,0.9850746268656716,0.0149253731343283,1.0,14.295522388059702,14s,6438,,
2026-01,Organic Video,1,1,1,1,1,1.0,0.0,1.0,8.0,8s,4,,
2026-01,Referral,525,324,328,288,487,0.9276190476190476,0.0723809523809523,1.0,52.29714285714286,52s,2059,,
2026-01,Unassigned,397,327,176,170,250,0.6297229219143576,0.3702770780856423,0.7632241813602015,36.40050377833753,36s,1125,,
2026-02,Cross-network,1,1,1,0,1,1.0,0.0,1.0,6.0,6s,1,,
2026-02,Direct,6862,6462,6672,6378,6814,0.9930049548236666,0.0069950451763334,1.0,7.877003788982804,8s,24766,,
2026-02,Display,1,1,1,1,1,1.0,0.0,1.0,0.0,0s,4,,
2026-02,Email,65,51,53,47,64,0.9846153846153847,0.015384615384615361,1.0,13.692307692307692,14s,242,,
2026-02,Organic Search,4467,3380,3405,3123,4230,0.946944257891202,0.05305574210879776,1.0,47.7897918065816,48s,16806,,
2026-02,Organic Social,878,707,720,676,869,0.989749430523918,0.010250569476082005,1.0,9.873576309794988,10s,2948,,
2026-02,Organic Video,5,4,4,3,5,1.0,0.0,1.0,39.2,39s,23,,
2026-02,Paid Social,11,11,11,11,11,1.0,0.0,1.0,0.0,0s,33,,
2026-02,Referral,520,358,350,317,487,0.9365384615384615,0.06346153846153846,1.0,40.80769230769231,41s,2024,,
2026-02,Unassigned,225,202,79,73,102,0.45333333333333325,0.5466666666666666,0.6,31.337777777777777,31s,441,,
2026-04,Affiliates,1,1,1,1,1,1.0,0.0,1.0,6.0,6s,4,,
2026-04,Direct,6056,5699,5817,5665,5996,0.9900924702774109,0.009907529722589167,1.0,12.521796565389696,13s,21301,,
2026-04,Display,3,3,3,3,3,1.0,0.0,1.0,4.0,4s,12,,
2026-04,Email,233,194,190,184,229,0.9828326180257511,0.017167381974248927,1.0,7.75107296137339,8s,863,,
2026-04,Organic Search,6126,4275,4298,4016,5773,0.9423767548155403,0.05762324518445968,1.0,34.53836108390467,35s,21961,,
2026-04,Organic Social,836,530,598,483,827,0.9892344497607656,0.01076555023923445,1.0,17.072966507177032,17s,2800,,
2026-04,Organic Video,1,1,1,1,1,1.0,0.0,1.0,23.0,23s,5,,
2026-04,Paid Other,1,1,1,1,1,1.0,0.0,1.0,6.0,6s,4,,
2026-04,Paid Search,5,5,5,5,5,1.0,0.0,1.0,3.8,4s,20,,
2026-04,Paid Social,5476,4474,4486,4601,5476,1.0,0.0,1.0,0.4952520087655223,0s,16349,,
2026-04,Referral,685,531,500,475,648,0.945985401459854,0.05401459854014599,1.0,29.162043795620438,29s,2580,,
2026-04,Unassigned,469,439,338,333,356,0.7590618336886994,0.24093816631130063,0.9445628997867804,9.874200426439232,10s,1507,,
2026-05,Direct,6891,6557,6784,6521,6837,0.9921636917718764,0.00783630822812364,1.0,7.605862719489189,8s,24591,27188.0,3.9454360760412133
2026-05,Email,83,63,60,58,77,0.927710843373494,0.07228915662650602,1.0,77.37349397590361,1m 17s,342,440.0,5.301204819277109
2026-05,Organic Search,5048,3489,3503,3211,4745,0.9399762282091918,0.06002377179080824,1.0,40.522385103011096,41s,17653,23556.0,4.666402535657686
2026-05,Organic Social,380,263,264,235,369,0.9710526315789474,0.02894736842105263,1.0,26.842105263157894,27s,1324,1739.0,4.576315789473684
2026-05,Organic Video,1,0,1,0,0,0.0,1.0,1.0,0.0,0s,1,2.0,2.0
2026-05,Paid Social,2,0,1,0,2,1.0,0.0,1.0,0.0,0s,4,4.0,2.0
2026-05,Referral,418,278,258,235,399,0.9545454545454546,0.045454545454545456,1.0,46.84928229665072,47s,1542,2236.0,5.349282296650718
2026-05,Unassigned,291,279,122,118,138,0.4742268041237113,0.5257731958762887,0.7903780068728522,24.924398625429554,25s,623,784.0,2.6941580756013748
