month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reporting_priority,reach,impressions,clicks,engagement_rate,engagements_total
2026-05,205183899497146_1420267680134293,2026-05-29 17:10:16,facebook,https://www.facebook.com/368989981928740/posts/1420267680134293,,,,,451,451,,0.028481,0.0
2026-05,205183899497146_1420267680134293,2026-05-29 17:10:16,facebook,https://www.facebook.com/368989981928740/posts/1420267680134293,HPV,Disease Area,program,high,451,451,,0.028481,0.0
2026-05,205183899497146_1420267680134293,2026-05-29 17:10:16,facebook,https://www.facebook.com/368989981928740/posts/1420267680134293,Global HPV Consortium,Partner,partner,low,451,451,,0.028481,0.0
2026-05,205183899497146_1420267680134293,2026-05-29 17:10:16,facebook,https://www.facebook.com/368989981928740/posts/1420267680134293,Sabin Global Immunization,Team,team,medium,451,451,,0.028481,0.0
2026-05,205183899497146_1419143140246747,2026-05-28 12:20:15,facebook,https://www.facebook.com/reel/1824050598554085/,Video Short,Asset Type,content_format,low,419,419,,0.0,0.0
2026-05,205183899497146_1419143140246747,2026-05-28 12:20:15,facebook,https://www.facebook.com/reel/1824050598554085/,Sabin Global Immunization,Team,team,medium,419,419,,0.0,0.0
2026-05,205183899497146_1419143140246747,2026-05-28 12:20:15,facebook,https://www.facebook.com/reel/1824050598554085/,Holiday,Topic,org_topic,low,419,419,,0.0,0.0
2026-05,205183899497146_1418288443665550,2026-05-27 14:01:51,facebook,https://www.facebook.com/368989981928740/posts/1418288443665550,,,,,124,124,,0.059524,0.0
2026-05,205183899497146_1418288443665550,2026-05-27 14:01:51,facebook,https://www.facebook.com/368989981928740/posts/1418288443665550,Webinar,Promo Content,content_type,medium,124,124,,0.059524,0.0
2026-05,205183899497146_1418288443665550,2026-05-27 14:01:51,facebook,https://www.facebook.com/368989981928740/posts/1418288443665550,GCE/Boost,Team,team,medium,124,124,,0.059524,0.0
2026-05,205183899497146_1417657333728661,2026-05-26 19:35:12,facebook,https://www.facebook.com/368989981928740/posts/1417657333728661,Single Photo,Asset Type,content_format,low,336,336,,0.091371,0.0
2026-05,205183899497146_1417657333728661,2026-05-26 19:35:12,facebook,https://www.facebook.com/368989981928740/posts/1417657333728661,Sabin R&D,Team,team,medium,336,336,,0.091371,0.0
2026-05,205183899497146_1417657333728661,2026-05-26 19:35:12,facebook,https://www.facebook.com/368989981928740/posts/1417657333728661,Outbreak Response,Theme,theme,medium,336,336,,0.091371,0.0
2026-05,205183899497146_1414301570730904,2026-05-22 20:35:19,facebook,https://www.facebook.com/reel/26952796607674808/,,,,,63,63,,0.0,0.0
2026-05,205183899497146_1414301570730904,2026-05-22 20:35:19,facebook,https://www.facebook.com/reel/26952796607674808/,,,,,63,63,,0.0,0.0
2026-05,205183899497146_1413055000855561,2026-05-21 13:20:13,facebook,https://www.facebook.com/368989981928740/posts/1413055000855561,,,,,245,245,,0.028249,0.0
2026-05,205183899497146_1413055000855561,2026-05-21 13:20:13,facebook,https://www.facebook.com/368989981928740/posts/1413055000855561,Webinar,Promo Content,content_type,medium,245,245,,0.028249,0.0
2026-05,205183899497146_1413055000855561,2026-05-21 13:20:13,facebook,https://www.facebook.com/368989981928740/posts/1413055000855561,GCE/Boost,Team,team,medium,245,245,,0.028249,0.0
2026-05,205183899497146_1413055000855561,2026-05-21 13:20:13,facebook,https://www.facebook.com/368989981928740/posts/1413055000855561,Sabin Global Immunization,Team,team,medium,245,245,,0.028249,0.0
2026-05,205183899497146_1411342441026817,2026-05-19 15:01:11,facebook,https://www.facebook.com/368989981928740/posts/1411342441026817,Sudan Ebolavirus,Disease Area,program,high,371,371,,0.029289,0.0
2026-05,205183899497146_1411342441026817,2026-05-19 15:01:11,facebook,https://www.facebook.com/368989981928740/posts/1411342441026817,Sabin R&D,Team,team,medium,371,371,,0.029289,0.0
2026-05,205183899497146_1411342441026817,2026-05-19 15:01:11,facebook,https://www.facebook.com/368989981928740/posts/1411342441026817,Vaccine R&D,Theme,theme,medium,371,371,,0.029289,0.0
2026-05,205183899497146_1410649531096108,2026-05-18 19:18:45,facebook,https://www.facebook.com/368989981928740/posts/1410649531096108,Photo Carousel,Asset Type,content_format,low,385,385,,0.033582,0.0
2026-05,205183899497146_1410649531096108,2026-05-18 19:18:45,facebook,https://www.facebook.com/368989981928740/posts/1410649531096108,General #VaccinesWork,Theme,theme,medium,385,385,,0.033582,0.0
2026-05,205183899497146_1410649531096108,2026-05-18 19:18:45,facebook,https://www.facebook.com/368989981928740/posts/1410649531096108,Trust in Vaccines,Theme,theme,medium,385,385,,0.033582,0.0
2026-05,205183899497146_1408020751358986,2026-05-15 20:24:12,facebook,https://www.facebook.com/reel/1533427325069301/,Video Short,Asset Type,content_format,low,330,330,,0.0,0.0
2026-05,205183899497146_1407128984781496,2026-05-14 19:50:18,facebook,https://www.facebook.com/reel/1866110717907089/,Video Short,Asset Type,content_format,low,525,525,,0.004219,0.0
2026-05,205183899497146_1407128984781496,2026-05-14 19:50:18,facebook,https://www.facebook.com/reel/1866110717907089/,,,,,525,525,,0.004219,0.0
2026-05,205183899497146_1406149908212737,2026-05-13 18:01:56,facebook,https://www.facebook.com/368989981928740/posts/1406149908212737,Photo Carousel,Asset Type,content_format,low,11768,11768,,0.067847,0.0
2026-05,205183899497146_1406149908212737,2026-05-13 18:01:56,facebook,https://www.facebook.com/368989981928740/posts/1406149908212737,,,,,11768,11768,,0.067847,0.0
2026-05,205183899497146_1405202158307512,2026-05-12 16:40:14,facebook,https://www.facebook.com/368989981928740/posts/1405202158307512,,,,,435,435,,0.08046,0.0
2026-05,205183899497146_1405202158307512,2026-05-12 16:40:14,facebook,https://www.facebook.com/368989981928740/posts/1405202158307512,,,,,435,435,,0.08046,0.0
2026-05,205183899497146_1405202158307512,2026-05-12 16:40:14,facebook,https://www.facebook.com/368989981928740/posts/1405202158307512,,,,,435,435,,0.08046,0.0
2026-05,205183899497146_1401595725334822,2026-05-08 15:35:33,facebook,https://www.facebook.com/reel/2742052269487147/,Video Short,Asset Type,content_format,low,278,278,,0.0,0.0
2026-05,205183899497146_1401595725334822,2026-05-08 15:35:33,facebook,https://www.facebook.com/reel/2742052269487147/,,,,,278,278,,0.0,0.0
2026-05,205183899497146_1401595725334822,2026-05-08 15:35:33,facebook,https://www.facebook.com/reel/2742052269487147/,,,,,278,278,,0.0,0.0
2026-05,205183899497146_1400052785489116,2026-05-06 19:42:08,facebook,https://www.facebook.com/368989981928740/posts/1400052785489116,Single Photo,Asset Type,content_format,low,242,242,,0.060403,0.0
2026-05,205183899497146_1400052785489116,2026-05-06 19:42:08,facebook,https://www.facebook.com/368989981928740/posts/1400052785489116,,,,,242,242,,0.060403,0.0
2026-05,205183899497146_1400052785489116,2026-05-06 19:42:08,facebook,https://www.facebook.com/368989981928740/posts/1400052785489116,Sabin Global Immunization,Team,team,medium,242,242,,0.060403,0.0
2026-05,205183899497146_1399232878904440,2026-05-05 20:15:14,facebook,https://www.facebook.com/368989981928740/posts/1399232878904440,Single Photo,Asset Type,content_format,low,189,189,,0.046512,0.0
2026-05,205183899497146_1399232878904440,2026-05-05 20:15:14,facebook,https://www.facebook.com/368989981928740/posts/1399232878904440,,,,,189,189,,0.046512,0.0
2026-05,205183899497146_1399232878904440,2026-05-05 20:15:14,facebook,https://www.facebook.com/368989981928740/posts/1399232878904440,Holiday,Topic,org_topic,low,189,189,,0.046512,0.0
2026-05,205183899497146_1398458288981899,2026-05-04 21:55:16,facebook,https://www.facebook.com/368989981928740/posts/1398458288981899,Graphics Carousel,Asset Type,content_format,low,641,641,,0.029018,0.0
2026-05,205183899497146_1398458288981899,2026-05-04 21:55:16,facebook,https://www.facebook.com/368989981928740/posts/1398458288981899,FAQ/101 Webpage,Promo Content,content_type,medium,641,641,,0.029018,0.0
2026-05,205183899497146_1395950742565987,2026-05-01 19:40:16,facebook,https://www.facebook.com/reel/971813185340092/,Video Short,Asset Type,content_format,low,110,110,,0.0,0.0
2026-05,205183899497146_1395950742565987,2026-05-01 19:40:16,facebook,https://www.facebook.com/reel/971813185340092/,,,,,110,110,,0.0,0.0
2026-05,18063869498397182,2026-05-01 19:40:05,instagram,https://www.instagram.com/reel/DXztfpdCDYv/,Video Short,Asset Type,content_format,low,189,189,,1.59,3.0
2026-05,18063869498397182,2026-05-01 19:40:05,instagram,https://www.instagram.com/reel/DXztfpdCDYv/,,,,,189,189,,1.59,3.0
2026-05,18062747354451614,2026-05-04 21:50:44,instagram,https://www.instagram.com/p/DX7rTj7DHca/,Graphics Carousel,Asset Type,content_format,low,108,108,,8.33,8.0
2026-05,18062747354451614,2026-05-04 21:50:44,instagram,https://www.instagram.com/p/DX7rTj7DHca/,FAQ/101 Webpage,Promo Content,content_type,medium,108,108,,8.33,8.0
2026-05,18368837413203465,2026-05-08 15:30:03,instagram,https://www.instagram.com/reel/DYFSiuVDj8A/,Video Short,Asset Type,content_format,low,230,230,,3.04,7.0
2026-05,18368837413203465,2026-05-08 15:30:03,instagram,https://www.instagram.com/reel/DYFSiuVDj8A/,,,,,230,230,,3.04,7.0
2026-05,18368837413203465,2026-05-08 15:30:03,instagram,https://www.instagram.com/reel/DYFSiuVDj8A/,,,,,230,230,,3.04,7.0
2026-05,18163630423389799,2026-05-14 19:50:05,instagram,https://www.instagram.com/reel/DYVM9mrjYvW/,Video Short,Asset Type,content_format,low,249,249,,6.43,16.0
2026-05,18163630423389799,2026-05-14 19:50:05,instagram,https://www.instagram.com/reel/DYVM9mrjYvW/,,,,,249,249,,6.43,16.0
2026-05,18164498638431406,2026-05-15 20:26:13,instagram,https://www.instagram.com/reel/DYX2UPmiE2A/,Video Short,Asset Type,content_format,low,198,198,,1.01,2.0
2026-05,17965508909920712,2026-05-18 18:15:39,instagram,https://www.instagram.com/p/DYfV0u6GkfG/,Photo Carousel,Asset Type,content_format,low,136,136,,4.41,6.0
2026-05,17965508909920712,2026-05-18 18:15:39,instagram,https://www.instagram.com/p/DYfV0u6GkfG/,General #VaccinesWork,Theme,theme,medium,136,136,,4.41,6.0
2026-05,17965508909920712,2026-05-18 18:15:39,instagram,https://www.instagram.com/p/DYfV0u6GkfG/,Trust in Vaccines,Theme,theme,medium,136,136,,4.41,6.0
2026-05,18219854242319277,2026-05-19 15:03:11,instagram,https://www.instagram.com/p/DYhknRBEp3P/,Sudan Ebolavirus,Disease Area,program,high,226,226,,3.54,8.0
2026-05,18219854242319277,2026-05-19 15:03:11,instagram,https://www.instagram.com/p/DYhknRBEp3P/,Sabin R&D,Team,team,medium,226,226,,3.54,8.0
2026-05,18219854242319277,2026-05-19 15:03:11,instagram,https://www.instagram.com/p/DYhknRBEp3P/,Vaccine R&D,Theme,theme,medium,226,226,,3.54,8.0
2026-05,18168305788426032,2026-05-28 12:20:02,instagram,https://www.instagram.com/reel/DY4clfgjLe_/,Video Short,Asset Type,content_format,low,283,283,,1.77,5.0
