month,post_id,post_date,platform,post_url,tag_name,tag_category,report_dimension,reporting_priority,reach,impressions,clicks,engagement_rate,engagements_total
2026-03,205183899497146_1345988487562213,2026-03-02 20:00:47,facebook,https://www.facebook.com/368989981928740/posts/1345988487562213,External News Story,Promo Content,content_type,medium,86,141,1,3.49,0.0
2026-03,205183899497146_1345988487562213,2026-03-02 20:00:47,facebook,https://www.facebook.com/368989981928740/posts/1345988487562213,Measles,Disease Area,program,high,86,141,1,3.49,0.0
2026-03,205183899497146_1346683450826050,2026-03-03 17:00:55,facebook,https://www.facebook.com/368989981928740/posts/1346683450826050,Photo Carousel,Asset Type,content_format,low,106,182,5,8.49,1.0
2026-03,205183899497146_1346683450826050,2026-03-03 17:00:55,facebook,https://www.facebook.com/368989981928740/posts/1346683450826050,Typhoid,Disease Area,program,high,106,182,5,8.49,1.0
2026-03,205183899497146_1346683450826050,2026-03-03 17:00:55,facebook,https://www.facebook.com/368989981928740/posts/1346683450826050,Take On Typhoid/TyVAC,Partner,partner,low,106,182,5,8.49,1.0
2026-03,205183899497146_1346683450826050,2026-03-03 17:00:55,facebook,https://www.facebook.com/368989981928740/posts/1346683450826050,,,,,106,182,5,8.49,1.0
2026-03,205183899497146_1347472470747148,2026-03-04 17:10:12,facebook,https://www.facebook.com/368989981928740/posts/1347472470747148,Single Photo,Asset Type,content_format,low,88,133,1,6.82,2.0
2026-03,205183899497146_1347472470747148,2026-03-04 17:10:12,facebook,https://www.facebook.com/368989981928740/posts/1347472470747148,HPV,Disease Area,program,high,88,133,1,6.82,2.0
2026-03,205183899497146_1347472470747148,2026-03-04 17:10:12,facebook,https://www.facebook.com/368989981928740/posts/1347472470747148,Global HPV Consortium,Partner,partner,low,88,133,1,6.82,2.0
2026-03,205183899497146_1352013660293029,2026-03-10 13:41:51,facebook,https://www.facebook.com/368989981928740/posts/1352013660293029,Single Photo,Asset Type,content_format,low,84,128,0,4.76,1.0
2026-03,205183899497146_1352013660293029,2026-03-10 13:41:51,facebook,https://www.facebook.com/368989981928740/posts/1352013660293029,Filoviruses,Disease Area,program,high,84,128,0,4.76,1.0
